sample	phenotype
affy_proliferation_cancer_ctrl_001	normal
affy_proliferation_cancer_ctrl_002	normal
affy_proliferation_cancer_ctrl_003	normal
affy_proliferation_cancer_ctrl_004	normal
affy_proliferation_cancer_ctrl_005	normal
affy_proliferation_cancer_ctrl_006	normal
affy_proliferation_cancer_ctrl_007	normal
affy_proliferation_cancer_ctrl_008	normal
affy_proliferation_cancer_ctrl_009	normal
affy_proliferation_cancer_ctrl_010	normal
affy_proliferation_cancer_ctrl_011	normal
affy_proliferation_cancer_ctrl_012	normal
affy_proliferation_cancer_ctrl_013	normal
affy_proliferation_cancer_ctrl_014	normal
affy_proliferation_cancer_ctrl_015	normal
affy_proliferation_cancer_ctrl_016	normal
affy_proliferation_cancer_ctrl_017	normal
affy_proliferation_cancer_ctrl_018	normal
affy_proliferation_cancer_ctrl_019	normal
affy_proliferation_cancer_ctrl_020	normal
affy_proliferation_cancer_ctrl_021	normal
affy_proliferation_cancer_ctrl_022	normal
affy_proliferation_cancer_ctrl_023	normal
affy_proliferation_cancer_ctrl_024	normal
affy_proliferation_cancer_ctrl_025	normal
affy_proliferation_cancer_ctrl_026	normal
affy_proliferation_cancer_ctrl_027	normal
affy_proliferation_cancer_ctrl_028	normal
affy_proliferation_cancer_ctrl_029	normal
affy_proliferation_cancer_ctrl_030	normal
affy_proliferation_cancer_case_001	tumor
affy_proliferation_cancer_case_002	tumor
affy_proliferation_cancer_case_003	tumor
affy_proliferation_cancer_case_004	tumor
affy_proliferation_cancer_case_005	tumor
affy_proliferation_cancer_case_006	tumor
affy_proliferation_cancer_case_007	tumor
affy_proliferation_cancer_case_008	tumor
affy_proliferation_cancer_case_009	tumor
affy_proliferation_cancer_case_010	tumor
affy_proliferation_cancer_case_011	tumor
affy_proliferation_cancer_case_012	tumor
affy_proliferation_cancer_case_013	tumor
affy_proliferation_cancer_case_014	tumor
affy_proliferation_cancer_case_015	tumor
affy_proliferation_cancer_case_016	tumor
affy_proliferation_cancer_case_017	tumor
affy_proliferation_cancer_case_018	tumor
affy_proliferation_cancer_case_019	tumor
affy_proliferation_cancer_case_020	tumor
affy_proliferation_cancer_case_021	tumor
affy_proliferation_cancer_case_022	tumor
affy_proliferation_cancer_case_023	tumor
affy_proliferation_cancer_case_024	tumor
affy_proliferation_cancer_case_025	tumor
affy_proliferation_cancer_case_026	tumor
affy_proliferation_cancer_case_027	tumor
affy_proliferation_cancer_case_028	tumor
affy_proliferation_cancer_case_029	tumor
affy_proliferation_cancer_case_030	tumor
