sample	phenotype
affy_senescence_aging_ctrl_001	young
affy_senescence_aging_ctrl_002	young
affy_senescence_aging_ctrl_003	young
affy_senescence_aging_ctrl_004	young
affy_senescence_aging_ctrl_005	young
affy_senescence_aging_ctrl_006	young
affy_senescence_aging_ctrl_007	young
affy_senescence_aging_ctrl_008	young
affy_senescence_aging_ctrl_009	young
affy_senescence_aging_ctrl_010	young
affy_senescence_aging_ctrl_011	young
affy_senescence_aging_ctrl_012	young
affy_senescence_aging_ctrl_013	young
affy_senescence_aging_ctrl_014	young
affy_senescence_aging_ctrl_015	young
affy_senescence_aging_ctrl_016	young
affy_senescence_aging_ctrl_017	young
affy_senescence_aging_ctrl_018	young
affy_senescence_aging_ctrl_019	young
affy_senescence_aging_ctrl_020	young
affy_senescence_aging_case_001	senescent
affy_senescence_aging_case_002	senescent
affy_senescence_aging_case_003	senescent
affy_senescence_aging_case_004	senescent
affy_senescence_aging_case_005	senescent
affy_senescence_aging_case_006	senescent
affy_senescence_aging_case_007	senescent
affy_senescence_aging_case_008	senescent
affy_senescence_aging_case_009	senescent
affy_senescence_aging_case_010	senescent
affy_senescence_aging_case_011	senescent
affy_senescence_aging_case_012	senescent
affy_senescence_aging_case_013	senescent
affy_senescence_aging_case_014	senescent
affy_senescence_aging_case_015	senescent
affy_senescence_aging_case_016	senescent
affy_senescence_aging_case_017	senescent
affy_senescence_aging_case_018	senescent
affy_senescence_aging_case_019	senescent
affy_senescence_aging_case_020	senescent
