sample	phenotype
rnaseq_proliferation_cancer_ctrl_001	normal
rnaseq_proliferation_cancer_ctrl_002	normal
rnaseq_proliferation_cancer_ctrl_003	normal
rnaseq_proliferation_cancer_ctrl_004	normal
rnaseq_proliferation_cancer_ctrl_005	normal
rnaseq_proliferation_cancer_ctrl_006	normal
rnaseq_proliferation_cancer_ctrl_007	normal
rnaseq_proliferation_cancer_ctrl_008	normal
rnaseq_proliferation_cancer_ctrl_009	normal
rnaseq_proliferation_cancer_ctrl_010	normal
rnaseq_proliferation_cancer_ctrl_011	normal
rnaseq_proliferation_cancer_ctrl_012	normal
rnaseq_proliferation_cancer_ctrl_013	normal
rnaseq_proliferation_cancer_ctrl_014	normal
rnaseq_proliferation_cancer_ctrl_015	normal
rnaseq_proliferation_cancer_ctrl_016	normal
rnaseq_proliferation_cancer_ctrl_017	normal
rnaseq_proliferation_cancer_ctrl_018	normal
rnaseq_proliferation_cancer_ctrl_019	normal
rnaseq_proliferation_cancer_ctrl_020	normal
rnaseq_proliferation_cancer_ctrl_021	normal
rnaseq_proliferation_cancer_ctrl_022	normal
rnaseq_proliferation_cancer_ctrl_023	normal
rnaseq_proliferation_cancer_ctrl_024	normal
rnaseq_proliferation_cancer_ctrl_025	normal
rnaseq_proliferation_cancer_ctrl_026	normal
rnaseq_proliferation_cancer_ctrl_027	normal
rnaseq_proliferation_cancer_ctrl_028	normal
rnaseq_proliferation_cancer_ctrl_029	normal
rnaseq_proliferation_cancer_ctrl_030	normal
rnaseq_proliferation_cancer_case_001	tumor
rnaseq_proliferation_cancer_case_002	tumor
rnaseq_proliferation_cancer_case_003	tumor
rnaseq_proliferation_cancer_case_004	tumor
rnaseq_proliferation_cancer_case_005	tumor
rnaseq_proliferation_cancer_case_006	tumor
rnaseq_proliferation_cancer_case_007	tumor
rnaseq_proliferation_cancer_case_008	tumor
rnaseq_proliferation_cancer_case_009	tumor
rnaseq_proliferation_cancer_case_010	tumor
rnaseq_proliferation_cancer_case_011	tumor
rnaseq_proliferation_cancer_case_012	tumor
rnaseq_proliferation_cancer_case_013	tumor
rnaseq_proliferation_cancer_case_014	tumor
rnaseq_proliferation_cancer_case_015	tumor
rnaseq_proliferation_cancer_case_016	tumor
rnaseq_proliferation_cancer_case_017	tumor
rnaseq_proliferation_cancer_case_018	tumor
rnaseq_proliferation_cancer_case_019	tumor
rnaseq_proliferation_cancer_case_020	tumor
rnaseq_proliferation_cancer_case_021	tumor
rnaseq_proliferation_cancer_case_022	tumor
rnaseq_proliferation_cancer_case_023	tumor
rnaseq_proliferation_cancer_case_024	tumor
rnaseq_proliferation_cancer_case_025	tumor
rnaseq_proliferation_cancer_case_026	tumor
rnaseq_proliferation_cancer_case_027	tumor
rnaseq_proliferation_cancer_case_028	tumor
rnaseq_proliferation_cancer_case_029	tumor
rnaseq_proliferation_cancer_case_030	tumor
